Model_Name,Model_Type,Confidence_Threshold,Detections_Count,Inference_Time_Seconds,Unique_Classes,Avg_Detection_Confidence
yolov9s,detection,0.1,17,0.4599,6,0.3534
yolov9s,detection,0.25,11,0.1345,5,0.4522
yolov9s,detection,0.4,6,0.1115,5,0.5524
yolov9s,detection,0.6,3,0.119,3,0.6734
yolov8m-seg,segmentation,0.1,14,0.7625,6,0.3018
yolov8m-seg,segmentation,0.25,6,0.281,3,0.4974
yolov8m-seg,segmentation,0.4,3,0.287,3,0.6974
yolov8m-seg,segmentation,0.6,3,0.2663,3,0.6974
yolov8n-seg,segmentation,0.1,13,2.8755,6,0.3273
yolov8n-seg,segmentation,0.25,7,0.1306,4,0.4472
yolov8n-seg,segmentation,0.4,5,0.1446,4,0.5222
yolov8n-seg,segmentation,0.6,0,0.0854,0,0.0
yolov8n,detection,0.1,13,0.1903,6,0.3074
yolov8n,detection,0.25,6,0.0787,5,0.4693
yolov8n,detection,0.4,3,0.0724,2,0.6041
yolov8n,detection,0.6,2,0.0896,2,0.6826
yolov10n,detection,0.1,12,0.1763,5,0.3147
yolov10n,detection,0.25,8,0.0793,4,0.3877
yolov10n,detection,0.4,2,0.0692,2,0.5939
yolov10n,detection,0.6,1,0.0602,1,0.7033
yolov8s,detection,0.1,11,0.3082,5,0.3153
yolov8s,detection,0.25,6,0.1012,4,0.4526
yolov8s,detection,0.4,3,0.1078,2,0.5706
yolov8s,detection,0.6,1,0.1072,1,0.7825
yolov8s-seg,segmentation,0.1,9,0.5104,6,0.3119
yolov8s-seg,segmentation,0.25,4,0.1376,3,0.5231
yolov8s-seg,segmentation,0.4,3,0.1354,3,0.5722
yolov8s-seg,segmentation,0.6,1,0.1577,1,0.6942
yolov8n-oiv7,detection,0.1,3,0.1792,1,0.2937
yolov8n-oiv7,detection,0.25,1,0.0855,1,0.4406
yolov8n-oiv7,detection,0.4,1,0.086,1,0.4406
yolov8n-oiv7,detection,0.6,0,0.0838,0,0.0
