epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4284,1.58041,2.24207,1.93149,0.00617,0.91803,0.06585,0.02573,2.14486,3.10928,3.54406,0.091,0.001,0.001
2,148.016,1.58293,1.80675,1.90153,0.13988,0.11475,0.05322,0.01367,3.11995,3.08419,6.37554,0.0810584,0.00205842,0.00205842
3,213.841,1.55313,1.58915,1.86143,0.00529,0.11475,0.00235,0.00069,3.84156,49.5236,5.3675,0.0710733,0.00307328,0.00307328
4,281.1,1.63775,1.72464,1.86856,0.13636,0.09836,0.0392,0.00737,3.45887,229.56,8.86104,0.0610446,0.00404458,0.00404458
5,350.686,1.68226,1.66136,1.95832,0.02551,0.18033,0.01977,0.00502,3.5102,22.8912,13.1228,0.0509723,0.00497232,0.00497232
6,424.937,1.67148,1.51334,1.9486,0.02719,0.03279,0.00499,0.00116,3.87988,12.0195,7.3176,0.0408565,0.0058565,0.0058565
7,496.804,1.73636,1.53859,1.98358,6e-05,0.01639,3e-05,1e-05,6.06508,38.3698,17.0711,0.0306971,0.00669712,0.00669712
8,565.955,1.63191,1.59703,1.90745,0.00022,0.06557,0.00012,2e-05,4.86385,632.276,11.7558,0.0204942,0.00749418,0.00749418
9,640.843,1.5881,1.36917,1.87508,0.00023,0.01639,9e-05,2e-05,4.5676,79.9348,9.5006,0.0102477,0.00824768,0.00824768
10,708.02,1.5912,1.43204,1.86564,6e-05,0.01639,3e-05,0,3.43634,21.5477,5.50231,0.008218,0.008218,0.008218
11,776.44,1.60789,1.45999,1.87571,0.00028,0.04918,0.00012,4e-05,4.45343,404.185,8.44454,0.00802,0.00802,0.00802
12,842.219,1.61066,1.49861,1.89369,0.00023,0.06557,0.00012,5e-05,3.28575,122.469,4.51094,0.007822,0.007822,0.007822
13,909.456,1.55679,1.44159,1.83888,0.00033,0.09836,0.00018,3e-05,3.50399,33.8958,3.9634,0.007624,0.007624,0.007624
14,982.383,1.51259,1.40383,1.83057,0.0002,0.04918,0.0001,2e-05,3.74575,7.54994,4.03009,0.007426,0.007426,0.007426
15,1056.11,1.52069,1.41323,1.85959,0.00969,0.06557,0.00254,0.00077,2.88479,4.89625,3.48303,0.007228,0.007228,0.007228
16,1125.2,1.53236,1.42326,1.8267,0.51732,0.06557,0.06966,0.0338,2.83778,3.98186,3.54263,0.00703,0.00703,0.00703
17,1189.5,1.50565,1.28278,1.78563,0.04505,0.03279,0.00858,0.00305,2.83513,4.04563,3.4196,0.006832,0.006832,0.006832
18,1254.84,1.51886,1.32544,1.79741,0.10784,0.09836,0.05309,0.02724,2.40304,4.37063,2.98224,0.006634,0.006634,0.006634
19,1319.78,1.46399,1.29411,1.78055,0.18675,0.42623,0.20267,0.09518,1.91991,2.63813,2.58279,0.006436,0.006436,0.006436
20,1385.76,1.47281,1.27519,1.74246,0.50721,0.57377,0.44188,0.19933,1.95207,2.83074,2.8782,0.006238,0.006238,0.006238
21,1461.32,1.48889,1.25812,1.77448,0.57783,0.70492,0.56665,0.28163,1.87928,1.76615,2.62304,0.00604,0.00604,0.00604
22,1535.33,1.36109,1.22499,1.71466,0.56232,0.60656,0.5511,0.2817,1.72124,1.76525,2.32868,0.005842,0.005842,0.005842
23,1605.9,1.43022,1.19559,1.81468,0.71424,0.7377,0.76797,0.41942,1.53564,1.3473,2.26746,0.005644,0.005644,0.005644
